readingtime,readingvalue
2018-06-0118:40:00.000000+0000,0.679166667
2018-06-0118:45:00.000000+0000,0.766666667
2018-06-0118:50:00.000000+0000,0.733333333
2018-06-0118:55:00.000000+0000,0.770833333
2018-06-0119:00:00.000000+0000,0.670833333
2018-06-0119:05:00.000000+0000,0.766666667
2018-06-0119:10:00.000000+0000,0.687237196
2018-06-0119:15:00.000000+0000,0.716666667
2018-06-0119:20:00.000000+0000,0.754166667
2018-06-0119:25:00.000000+0000,0.729166667
2018-06-0119:30:00.000000+0000,0.708333333
2018-06-0119:35:00.000000+0000,0.731420765
2018-06-0119:40:00.000000+0000,0.698940678
2018-06-0119:45:00.000000+0000,0.695833333
2018-06-0119:50:00.000000+0000,0.783333333
2018-06-0119:55:00.000000+0000,0.716666667
2018-06-0120:00:00.000000+0000,0.732917709
2018-06-0120:05:00.000000+0000,0.854166667
2018-06-0120:10:00.000000+0000,0.795833333
2018-06-0120:15:00.000000+0000,0.625
2018-06-0120:20:00.000000+0000,0.656079235
2018-06-0120:25:00.000000+0000,0.63990113
2018-06-0120:30:00.000000+0000,0.645833333
2018-06-0120:35:00.000000+0000,0.691666667
2018-06-0120:40:00.000000+0000,0.6625
2018-06-0120:45:00.000000+0000,0.7125
2018-06-0120:50:00.000000+0000,0.75
2018-06-0120:55:00.000000+0000,0.687430536
2018-06-0121:00:00.000000+0000,0.683333333
2018-06-0121:05:00.000000+0000,0.6375
2018-06-0121:10:00.000000+0000,0.745833333
2018-06-0121:15:00.000000+0000,0.741811383
2018-06-0121:20:00.000000+0000,0.666877373
2018-06-0121:25:00.000000+0000,0.65
2018-06-0121:30:00.000000+0000,0.611947763
2018-06-0121:35:00.000000+0000,0.6375
2018-06-0121:40:00.000000+0000,0.6625
2018-06-0121:45:00.000000+0000,0.641666667
2018-06-0121:50:00.000000+0000,0.625
2018-06-0121:55:00.000000+0000,0.595833333
2018-06-0122:00:00.000000+0000,0.620833333
2018-06-0122:05:00.000000+0000,0.695833333
2018-06-0122:10:00.000000+0000,0.6875
2018-06-0122:15:00.000000+0000,0.7625
2018-06-0122:20:00.000000+0000,0.608333333
2018-06-0122:25:00.000000+0000,0.629166667
2018-06-0122:30:00.000000+0000,0.645833333
2018-06-0122:35:00.000000+0000,0.6375
2018-06-0122:40:00.000000+0000,0.683122627
2018-06-0122:45:00.000000+0000,0.620833333
2018-06-0122:50:00.000000+0000,0.658333333
2018-06-0122:55:00.000000+0000,0.637225618
2018-06-0123:00:00.000000+0000,0.716666667
2018-06-0123:05:00.000000+0000,0.670833333
2018-06-0123:10:00.000000+0000,0.626912568
2018-06-0123:15:00.000000+0000,0.631285311
2018-06-0123:20:00.000000+0000,0.670833333
2018-06-0123:25:00.000000+0000,0.604166667
2018-06-0123:30:00.000000+0000,0.6125
2018-06-0123:35:00.000000+0000,0.654166667
2018-06-0123:40:00.000000+0000,0.6625
2018-06-0123:45:00.000000+0000,0.5875
2018-06-0123:50:00.000000+0000,0.620833333
2018-06-0123:55:00.000000+0000,0.6
2018-06-0200:00:00.000000+0000,0.658333333
2018-06-0200:05:00.000000+0000,0.616666667
2018-06-0200:10:00.000000+0000,0.683333333
2018-06-0200:15:00.000000+0000,0.612491896
2018-06-0200:20:00.000000+0000,0.616666667
2018-06-0200:25:00.000000+0000,0.620833333
2018-06-0200:30:00.000000+0000,0.639480874
2018-06-0200:35:00.000000+0000,0.65670904
2018-06-0200:40:00.000000+0000,0.620833333
2018-06-0200:45:00.000000+0000,0.6
2018-06-0200:50:00.000000+0000,0.654166667
2018-06-0200:55:00.000000+0000,0.666666667
2018-06-0201:00:00.000000+0000,0.629166667
2018-06-0201:05:00.000000+0000,0.6125
